month,closeLogDiff,diff(G1121846)_9,diff(G1000037)_12_abs,diff(G0008380)_1,logDiff(G0900698)_6_abs,logDiff(G1109167)_2_abs,logDiff(G1109077)_1
2011-06,-0.007304139720708203,165.0,3186.0,0.3,0.13353139262452252,0.02938438138106214,0.00061895543418089
2011-07,0.003089761453825113,85.0,7214.4,-0.19999999999999998,0.0,0.0032408386276330248,0.0019121760605607108
2011-08,-0.04195631444066672,119.0,4588.5,0.6,0.0,0.0010650763740365221,0.004385642625496899
2011-09,-0.0018825639624946988,53.0,3402.2999999999993,-0.6,0.1177830356563836,0.025294367590865008,0.0025021706571912716
2011-10,-0.012456532814293708,171.0,1150.1499999999996,0.0,0.31365755885504165,0.006148513809051792,0.0033561593090212227
2011-11,-0.03035029432555736,123.0,1601.25,0.1,0.1910552367627092,0.0057639973864063165,0.00564076206966746
2011-12,-0.018141909878132967,64.0,4795.800000000001,0.0,0.18232155679395456,0.007664857928839197,0.001402494106226726
2012-01,0.024982659669850638,-9.0,5075.0,0.2,0.0,0.0028687925591608376,0.006450717167346909
2012-02,-0.0019845798571486717,120.0,7664.25,-0.30000000000000004,0.12260232209233246,0.02282629228172084,0.011554700479774027
2012-03,-0.003773281836735809,128.0,7634.0,0.5,0.25593337413720074,0.03809812099929921,0.0029035136338428913
2012-04,-0.0289768399716884,69.0,5040.15,-1.1,0.23361485118150516,0.007473904988204438,0.0041551634156142825
2012-05,-0.01898783619300093,-80.0,2390.5,1.5,0.38776553100876343,0.010435165215307407,0.003103559566174141
2012-06,-0.020576940550543543,-44.0,1794.0499999999993,-0.5,0.4382549309311553,0.01234501258116616,0.002150880739201
2012-07,0.0091686010214313,-219.0,461.25,0.8,0.4054651081081643,0.008746708207533871,0.00455963134587023
2012-08,0.03712891613216393,-68.0,3593.55,-0.7000000000000001,0.17589066646366425,0.0080437008880061,0.0042634306032702796
2012-09,0.007499022874034034,-2.0,4756.950000000001,-0.09999999999999998,0.06252035698133396,0.015900894145525868,0.0035546499802876497
2012-10,-0.010185367193229322,95.0,4846.25,0.4,0.5355182363563622,0.012659182497587906,0.0017993278571424298
2012-11,0.022187792878348378,-121.0,4298.25,-0.5,0.45198512374305744,0.013410526291547598,0.006195583188681297
2012-12,0.013568368270335085,-105.0,2446.0499999999993,-0.2,0.35020242943311497,0.010566838052447736,0.00420283994436943
2013-01,0.0024595456918566905,-10.0,3636.5,-0.1,0.26469255422708216,0.011019809684011506,0.004006657729977547
2013-02,-0.02918587840640635,48.0,530.5,0.7000000000000001,0.30368241379822214,0.003149184788979298,0.0012711105015270618
2013-03,0.005456428374471967,47.0,1568.3999999999996,-0.20000000000000007,0.2170645052378275,0.00956265865694128,-0.00040219794308526957
2013-04,-0.003657408359699632,21.0,1881.0,0.20000000000000007,0.13657553500575093,0.006525521427034775,0.006133719906934232
2013-05,0.016940655817786088,-1.0,2853.6499999999996,-0.30000000000000004,0.04445176257083361,0.011948701835072129,0.0004839841532309208
2013-06,-0.007918680208640116,79.0,3304.7000000000007,-0.5,0.04652001563489283,0.0029603092399810294,0.0008821606366353762
2013-07,0.01689561537143691,-66.0,3819.25,0.6,0.09763846956391609,0.018867708103906367,-0.0009219916234393111
2013-08,0.003055381860311124,-34.0,2359.0,0.09999999999999998,0.0,0.008351680714206111,-0.0009336673222968273
2013-09,0.020695404639623327,-18.0,2314.0,-0.09999999999999998,0.10265415406008316,0.0057469599356778645,0.0006430235411940544
2013-10,-0.010407368453906274,-146.0,2602.0,0.09999999999999998,0.3844116989103321,0.004113915022884385,0.0035337100536061428
2013-11,0.015065681265524267,-77.0,1432.8000000000002,-0.29999999999999993,0.3321338350226146,0.013947937701557223,0.003580051519733729
2013-12,-0.006383226988173896,-121.0,2200.3500000000004,-0.7,0.5596157879354229,0.009470417643386853,0.0027577831808898168
2014-01,0.003954217327904186,-72.0,653.9499999999998,0.8999999999999999,0.5280674302004967,0.004645329292300104,0.0035827649206545686
2014-02,0.011292268413987672,-128.0,1136.5,0.0,0.5596157879354229,0.015705303415346705,0.007930868305290772
2014-03,-0.0010151569430138507,-234.0,127.60000000000036,-0.09999999999999998,0.5663954749208016,0.017545544536375246,0.007602437633146053
2014-04,-0.005687450654158099,-165.0,1682.75,-0.4,0.5753641449035618,0.0055618007045321605,0.004307702627919241
2014-05,-0.009672839721103221,-4.0,1119.8000000000002,0.5,0.36101334553733067,0.01190330908074877,0.00593576983472488
2014-06,-0.00461805141456767,-120.0,2.75,0.0,0.042559614418795966,0.019268578946567416,0.005277862487787388
2014-07,-0.01660851798266172,5.0,245.0,0.0,0.12260232209233246,0.004937641302129592,0.008012180140276826
2014-08,-0.032088664452796345,-21.0,471.1999999999998,0.30000000000000004,0.1177830356563836,0.00751912368690455,0.004900267632169886
2014-09,-0.016847185875664306,-43.0,1860.0,0.0,0.3227733922630509,0.01234665998099338,0.004794030777272695
2014-10,-0.016279051759008567,-35.0,2793.3999999999996,-0.20000000000000007,0.4054651081081644,0.0012115604330276142,0.0034294046844820514
2014-11,-0.01307924586658002,10.0,1336.5500000000002,0.5,0.36101334553733067,0.0060428762822226645,0.005065849186888016
2014-12,-0.05898145727057694,-2.0,2399.8500000000004,1.4000000000000001,0.44802472252696035,0.01362069963237822,0.009197507662520366
2015-01,-0.02219174188366832,62.0,1017.1999999999998,-1.0,0.4554755286828257,0.014190800795415015,0.008057317479618575
2015-02,-0.047544154335692465,24.0,490.0,-0.7000000000000001,0.4177352006999786,0.013486643951237554,0.007181225258545254
2015-03,-0.0007771983023984325,10.0,716.25,0.09999999999999998,0.39390428570708846,0.009166449781652375,0.008366807773324325
2015-04,0.03087345233667632,-16.0,3027.0,-0.09999999999999998,0.5753641449035618,0.015250393868742051,0.006409549225498523
2015-05,0.006783440691297105,-30.0,2305.5999999999995,0.20000000000000007,0.3746934494414107,0.01343580784828724,0.00623359661967271
2015-06,-0.02104260000028045,-47.0,748.5,-0.30000000000000004,0.32850406697203605,0.003986800731738072,0.004678983755269428
2015-07,0.013306723371580967,60.0,206.39999999999964,0.30000000000000004,0.256719846847814,0.001717879954478363,0.0029367842991412374
2015-08,0.007930132326465583,-49.0,1050.8999999999996,-0.6000000000000001,0.19845093872383823,0.0073024675329467215,0.0057939023710602555
2015-09,-0.0012349754675781838,-14.0,2106.0,0.0,0.1306201824170643,0.014843816090905904,0.003993652211555343
2015-10,-0.04492552625190217,-83.0,2138.5999999999995,0.5,0.13613217432458002,0.006258207350555267,0.005340152385237218
2015-11,0.015928083112855887,-117.0,345.0,-0.09999999999999998,0.040821994520255034,0.003802425808840937,0.006801309900566821
2015-12,-0.0029507706922917293,-49.0,1922.75,-0.4,0.03922071315328135,0.008149899541450623,0.007604994284619693
2016-01,0.02159719968273449,-71.0,2194.0,0.4,0.03704127168034921,0.007184074495475201,0.00524620499761852
2016-02,0.0032691646045849287,-54.0,2335.0,0.0,0.09531017980432499,0.007228201476380036,0.005867444370043273
2016-03,0.0177670896541256,84.0,2385.25,-0.6000000000000001,0.09716374845364784,0.00177079522010537,0.008041378875365268
2016-04,-0.0039016110340404225,18.0,3598.7,0.3,0.01834913866819643,0.0008173822478010351,0.006107712343982996
2016-05,-0.004468794491887182,19.0,2432.8999999999996,0.09999999999999998,0.0,0.010244230077818273,0.00662725076450954
2016-06,-0.016434127927901124,47.0,1525.0,-0.39999999999999997,0.059423420470800625,0.011888361296838568,0.005787839822897212
2016-07,0.012789484348311092,44.0,1129.0,0.6000000000000001,0.05608946665104364,0.01223618406141469,0.007457332308192122
2016-08,0.0007178299943439576,110.0,3219.25,-0.30000000000000004,0.09531017980432499,0.00750108164377572,0.0035106281303143305
2016-09,-0.01706084961963167,107.0,3760.1499999999996,-0.19999999999999996,0.057158413839948796,0.006789748639171478,0.006930044738705732
2016-10,-0.02168726932722405,187.0,4831.2,0.4,0.18232155679395468,0.006366483293801295,0.005902248507741348
2016-11,-0.023239856560127115,181.0,4949.25,0.30000000000000004,0.040821994520255034,0.0059583726789504965,0.002104588194754342
2016-12,0.008666652198546752,36.0,6378.1,-0.8,0.0,0.009835249313969285,-0.00045300228126521347
2017-01,0.0010471003758244918,1.0,7135.0,0.39999999999999997,0.12260232209233246,0.0002424452779017372,0.0024796167331970764
2017-02,0.004399016399489954,8.0,6737.0,0.10000000000000009,0.06187540371808731,0.007187011743745586,0.0030592722172748665
2017-03,0.002671128935965633,-29.0,7094.0,0.30000000000000004,0.0,0.007373872038282769,0.002101486267005015
2017-04,0.03125550832733506,-52.0,6790.7,-0.40000000000000013,0.10536051565782611,0.007034911043881209,0.0022097288313922547
2017-05,0.016224371439375093,-104.0,6325.5,-0.29999999999999993,0.02061928720273576,0.011808685354427695,0.0035533512579561943
2017-06,0.02581999639648709,-114.0,5724.549999999999,0.4,0.07847161544149506,0.01660206645287765,0.0006698960963333889
2017-07,0.024572417294373594,-220.0,5115.15,-0.30000000000000004,0.06317890162153184,0.012324434703991471,0.0034602403165386875
2017-08,0.007421567087117026,-147.0,2662.0,0.30000000000000004,0.13883644485421587,0.010971877627660831,0.002819305769683922
2017-09,-0.012826856499512734,-145.0,1810.2000000000007,-0.30000000000000004,0.057158413839948796,0.01365002956310235,0.003863659797964658
2017-10,-0.0008743085395818972,-116.0,2168.25,0.0,0.07696104113612856,0.003142911554618877,0.0052204047845805235
2017-11,0.007901187285971445,-33.0,498.75,0.19999999999999996,0.07847161544149506,0.002292319449407998,0.0031364415328027917
2017-12,0.02950863859288258,-84.0,843.0,-0.19999999999999996,0.019048194970694432,0.009535963970652261,0.004968623617561008
2018-01,0.012370832154905725,-65.0,504.0,0.30000000000000004,0.04000533461369904,0.014518335369432478,0.0016961381183868696
2018-02,-0.000610353897117083,-15.0,1349.0,-0.4,0.13883644485421587,0.024499582867028025,0.0005469409884639731
2018-03,-0.005103202905099219,62.0,554.2000000000007,-0.2,0.20479441264601328,0.0019252883185103542,0.0009289796315137266
2018-04,-0.038313719338354035,75.0,696.75,0.39999999999999997,0.30010459245033827,0.006906785260529347,0.004672992348712768
2018-05,-0.011892999536529808,49.0,393.25,0.4,0.1416505170630269,0.008311752832133479,0.0022279386359649322
2018-06,0.0011616357610373107,65.0,777.3999999999996,-0.30000000000000004,0.059423420470800625,0.01584796226783247,0.006073458106612861
2018-07,-0.01192094722361417,87.0,219.25,-0.49999999999999994,0.12516314295400588,0.012370183873967378,0.0035357987879436337
2018-08,0.009685804727620179,122.0,118.54999999999927,0.2,0.13657553500575093,0.00898628243897015,0.0009404424654633203
2018-09,-0.01552749205028403,18.0,413.89999999999964,0.4,0.04652001563489283,0.011150787463716227,0.002853865717057147
2018-10,-0.01032623020055154,14.0,195.0,-0.4,0.07232066157962613,0.0024823528627511138,0.004085231408684109
2018-11,0.0012456441907259252,-62.0,1061.1499999999996,0.19999999999999996,0.04445176257083361,0.007768457751465618,0.003912550329093989
2018-12,0.003817715743095196,-55.0,853.1000000000004,-0.09999999999999998,0.15415067982725827,0.009641842031468784,0.008762804784733902
2019-01,-0.006442459294414726,-9.0,1074.5,-0.09999999999999998,0.1177830356563836,0.0025535105638265776,0.008363892466629608
2019-02,-0.004200275434016659,-8.0,2914.25,0.29999999999999993,0.09309042306601212,0.00890467334802203,0.0036510360439301337
2019-03,-0.005919721914722398,-23.0,2427.800000000001,0.30000000000000004,0.2135741002980589,0.015349055513198095,0.004108285305772341
2019-04,-0.004412706034847044,-97.0,387.0,-0.6,0.22778393087071214,0.009039760671477381,0.003546834511947594
2019-05,0.010032319284376909,-69.0,1047.8500000000004,0.29999999999999993,0.1861022796338605,0.006151587608488995,0.005050305868220306
2019-06,-0.007345523339851334,168.0,1090.6000000000004,0.10000000000000009,0.17435338714477755,0.014860345752691018,0.005027745017038399
2019-07,-0.008090848153198715,115.0,26.25,-0.20000000000000007,0.30010459245033827,0.013509769892637635,0.0047128394892546055
2019-08,-0.010389626110377193,76.0,185.59999999999854,0.4,0.3522205935893521,0.01395169108359795,0.0060701080497729265
2019-09,0.0044390727924075585,20.0,80.75,-0.5,0.109199291964992,0.011283229901708935,0.006557304422894816
2019-10,-0.0008679103137214372,33.0,658.75,0.19999999999999996,0.12188981760903661,0.007694334845982809,0.003914430568801919
2019-11,0.00600489539528852,-66.0,1344.800000000001,-0.09999999999999998,0.1405819506211894,0.007096721576594689,0.0047958471388511725
2019-12,-0.0006485556345979943,32.0,2476.75,-0.3,0.1310282624064043,0.006723423405722073,0.004172190198740822
2020-01,-0.018228552650450258,94.0,3338.3,0.10000000000000003,0.01834913866819643,0.009547009612603574,0.000757539996477874
2020-02,0.01435158303727535,-56.0,2831.75,0.4,0.09844007281325262,0.013903665954687838,0.003926292583830815
2020-03,-0.017535910899879978,-183.0,3876.1499999999996,2.3,0.23001643060197186,0.021874647920258283,0.027373555103523017
2020-04,0.0031891308432470122,-272.0,4931.5,-1.4000000000000001,0.295845383090942,0.0007267751167585601,0.03140520455304596
2020-05,0.03184696704689606,-227.0,5041.200000000001,-0.3999999999999999,0.4217256289799449,0.023909246468431178,0.006031950822933396
2020-06,0.018840751592260438,-264.0,3415.25,-0.30000000000000004,0.47873730921449,0.005572403902627698,-0.0006674936529016406
2020-07,0.03060197557561878,-257.0,3435.8500000000004,-0.5,0.6077873316087885,0.04603892653469188,0.003553433374200665
2020-08,-0.0036474721624076,-179.0,3304.2999999999993,0.30000000000000004,0.48285177172358473,0.042373206167258815,0.0011871338228637285
2020-09,-0.0016983044200499509,-6.0,3687.75,0.19999999999999996,0.34426954708124446,0.021237496493549557,0.0010261698087674631
2020-10,0.0053256491759737234,-65.0,4235.9,-0.30000000000000004,0.256719846847814,0.008470136633755843,0.0004853788181904406
2020-11,0.028820656319380328,-68.0,3160.0499999999993,0.40000000000000013,0.14022934130864995,0.0035285370753026513,0.0042675421847171435
2020-12,-0.0002442902523195345,27.0,4273.5,0.09999999999999987,0.24038535774871583,0.012542285465112712,0.0028080626821243015
2021-01,-0.006445201202180478,84.0,3306.6,0.0,0.19706383853115828,0.031121096300262607,0.004578295145414302
2021-02,-0.016200291243653075,140.0,2690.25,-0.3999999999999999,0.25249576332673707,0.021266599005207,0.006409438166613768
2021-03,0.006391681033029006,206.0,1806.0,0.0,0.01960847138837618,0.011209778819546656,0.009282855154449265
2021-04,0.014295054318861217,245.0,2995.95,-0.4,0.1416505170630269,0.003768526413653106,0.004797794107918918
2021-05,-0.008912388454761055,183.0,4415.15,0.19999999999999996,0.2661095871976529,0.007870226365962907,0.007329765716310277
2021-06,-0.01806758312650053,134.0,5658.5,0.6,0.35545468753350296,0.002994141986704335,0.003830794526741954
2021-07,-0.004858989328328428,167.0,4983.4,-0.6,0.4554755286828258,0.00828205232584267,0.004407127204633099
2021-08,-0.00019315161689323346,124.0,4761.25,0.30000000000000004,0.4390817189071492,0.02133443126094825,0.004993277829917986
